               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.064641,             0.01237,                   0,             0.53504,               0.875,             0.58855,             0.17552,            0.038768,             0.01478,                   0,             0.00694,             0.00694,             0.00694
                 104,            0.066115,            0.010132,                   0,             0.53504,               0.875,             0.58855,             0.17552,            0.038768,             0.01478,                   0,             0.00691,             0.00691,             0.00691
                 105,             0.06443,            0.010985,                   0,             0.69125,               0.875,             0.75515,             0.28539,            0.034995,            0.014223,                   0,             0.00688,             0.00688,             0.00688
                 106,            0.063462,            0.010876,                   0,             0.69125,               0.875,             0.75515,             0.28539,            0.034995,            0.014223,                   0,             0.00685,             0.00685,             0.00685
                 107,            0.037319,            0.009796,                   0,             0.68671,               0.625,              0.6727,             0.11932,             0.04615,            0.013171,                   0,             0.00682,             0.00682,             0.00682
                 108,            0.066477,           0.0093563,                   0,             0.68671,               0.625,              0.6727,             0.11932,             0.04615,            0.013171,                   0,             0.00679,             0.00679,             0.00679
                 109,            0.069769,             0.01067,                   0,             0.77886,              0.5625,             0.68782,             0.13647,            0.036981,            0.015048,                   0,             0.00676,             0.00676,             0.00676
                 110,             0.04165,            0.011925,                   0,             0.77886,              0.5625,             0.68782,             0.13647,            0.036981,            0.015048,                   0,             0.00673,             0.00673,             0.00673
                 111,            0.045641,            0.010228,                   0,             0.71404,             0.78119,             0.70292,             0.15208,            0.040393,            0.014102,                   0,              0.0067,              0.0067,              0.0067
                 112,            0.041634,            0.012579,                   0,             0.71404,             0.78119,             0.70292,             0.15208,            0.040393,            0.014102,                   0,             0.00667,             0.00667,             0.00667
                 113,            0.060199,           0.0094444,                   0,             0.87144,             0.84827,             0.91115,             0.24721,            0.037534,            0.013532,                   0,             0.00664,             0.00664,             0.00664
                 114,            0.041942,           0.0089236,                   0,             0.87144,             0.84827,             0.91115,             0.24721,            0.037534,            0.013532,                   0,             0.00661,             0.00661,             0.00661
                 115,            0.040289,            0.010077,                   0,             0.55198,             0.77063,             0.60351,             0.20055,            0.034535,            0.012993,                   0,             0.00658,             0.00658,             0.00658
                 116,            0.080357,            0.012765,                   0,             0.55198,             0.77063,             0.60351,             0.20055,            0.034535,            0.012993,                   0,             0.00655,             0.00655,             0.00655
                 117,            0.039791,            0.010495,                   0,             0.76701,                0.75,             0.83515,             0.29092,            0.033292,            0.012784,                   0,             0.00652,             0.00652,             0.00652
                 118,            0.071724,           0.0082736,                   0,             0.76701,                0.75,             0.83515,             0.29092,            0.033292,            0.012784,                   0,             0.00649,             0.00649,             0.00649
                 119,            0.037477,            0.011184,                   0,             0.75977,              0.8125,             0.74953,             0.16985,            0.035182,            0.012525,                   0,             0.00646,             0.00646,             0.00646
                 120,            0.037788,           0.0077257,                   0,             0.75977,              0.8125,             0.74953,             0.16985,            0.035182,            0.012525,                   0,             0.00643,             0.00643,             0.00643
                 121,            0.037543,           0.0084985,                   0,             0.76196,             0.80081,             0.73561,              0.1901,            0.037721,            0.012142,                   0,              0.0064,              0.0064,              0.0064
                 122,             0.06078,           0.0091627,                   0,             0.76196,             0.80081,             0.73561,              0.1901,            0.037721,            0.012142,                   0,             0.00637,             0.00637,             0.00637
                 123,            0.039568,           0.0095387,                   0,             0.86593,              0.8077,              0.7611,             0.20253,            0.040136,            0.011514,                   0,             0.00634,             0.00634,             0.00634
                 124,            0.039676,           0.0094349,                   0,             0.86593,              0.8077,              0.7611,             0.20253,            0.040136,            0.011514,                   0,             0.00631,             0.00631,             0.00631
                 125,            0.043307,           0.0093207,                   0,              0.8214,             0.86293,             0.85884,             0.29241,            0.032207,            0.011713,                   0,             0.00628,             0.00628,             0.00628
                 126,            0.061235,           0.0092469,                   0,              0.8214,             0.86293,             0.85884,             0.29241,            0.032207,            0.011713,                   0,             0.00625,             0.00625,             0.00625
                 127,            0.039204,            0.009556,                   0,             0.85241,               0.875,             0.89745,             0.31604,            0.035884,            0.011268,                   0,             0.00622,             0.00622,             0.00622
